"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-SEARCH-FREE-025: Free User loại trừ ảnh của Tác giả (Acworks) qua menu Detailed Search Toolbar @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","12970","TC-SEARCH-GUEST-013: Guest lọc ảnh theo Danh mục (人物) qua Toolbar dropdown @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-FREE-017: Free User lọc ảnh có từ 3 người mẫu trở lên (3人以上) qua Toolbar @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-FREE-038: Free User chạm hạn mức tìm kiếm hiển thị Modal kèm tùy chọn Dùng vé / Nâng cấp @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","14385","TC-SEARCH-GUEST-040: Khách vãng lai khi đạt hạn mức tìm kiếm thì AI Toggle tự động bật màu vàng và cho phép nhập tìm kiếm bằng AI @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-024: Premium User tìm kiếm ảnh theo Tác giả (Acworks) qua Detailed Search Toolbar @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-FREE-010: Free User lọc định dạng ảnh PSD qua Toolbar ""ファイル・向き"" @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-PREM-029: Premium User tìm kiếm chính xác ảnh theo Mã素材ID qua menu Detailed Search @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","26139","authenticate as creator","setup-creator","2026-09-22","failed","2026-09-22","","","",""
"","0","TC-SEARCH-FREE-002: Free User tìm kiếm nhiều từ khóa kết hợp (AND Search) @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","12399","TC-SEARCH-GUEST-024: Guest tìm kiếm ảnh theo Tác giả (Acworks) qua menu Detailed Search Toolbar @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-FREE-033: Free User sắp xếp kết quả theo ""新着順"" (Mới nhất) thành công @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-FREE-012: Free User lọc kích thước ảnh Lサイズ qua Toolbar ""ファイル・向き"" @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-FREE-039: Verify Toggle AI Search (.search-by-ai) KHÔNG hiển thị trên giao diện của Free User @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-PREM-027: Premium User kết hợp Đa bộ lọc (Chiều ngang + Không có người + Loại trừ AI) qua UI Toolbar @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-FREE-008: Free User lọc kết quả theo Chiều dọc (縦長) qua Toolbar @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","0","TC-SEARCH-PREM-034: Premium User sắp xếp kết quả theo ""新着順"" (Mới nhất) thành công @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-FREE-006: Free User click Top Keyword chuyển hướng đến trang kết quả tìm kiếm @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","11770","TC-SEARCH-GUEST-031: Truy cập PSD Format Search và giữ tham số sizesec=psd khi chuyển trang @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-030: Premium User truy cập Recommended Search và giữ tham số rcm=1 khi chuyển trang @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","1","TC-SEARCH-PREM-003: Premium User nhận thông báo khi không tìm thấy ảnh nào khớp từ khóa @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-PREM-028: Premium User upload ảnh để tìm kiếm hình ảnh tương đồng @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-FREE-018: Free User lọc người mẫu theo Độ tuổi (若者) qua Toolbar ""人物指定"" @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","9460","TC-SEARCH-GUEST-003: Hiển thị thông báo khi không tìm thấy ảnh nào khớp từ khóa @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","14528","TC-SEARCH-GUEST-012: Guest lọc kích thước ảnh Lサイズ qua Toolbar ""ファイル・向き"" @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-016: Premium User lọc ảnh có 1 người mẫu (1人) qua Toolbar @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","8818","TC-SEARCH-GUEST-007: Guest click Popular Tag từ tag cloud thành công @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-002: Premium User tìm kiếm nhiều từ khóa kết hợp (AND Search) @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","13173","TC-SEARCH-GUEST-018: Guest lọc người mẫu theo Độ tuổi (若者) qua Toolbar ""人物指定"" @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-FREE-005: Free User xóa nhanh từ khóa trong ô tìm kiếm bằng nút Reset @regression @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","10557","TC-SEARCH-GUEST-021: Guest bật bộ lọc Loại trừ ảnh do AI tạo @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","12851","TC-SEARCH-GUEST-009: Guest lọc kết quả theo Chiều ngang (横長) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-015: Premium User lọc ảnh Không có người (無人) qua Toolbar @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","15683","TC-SEARCH-GUEST-017: Guest lọc ảnh có từ 3 người mẫu trở lên (3人以上) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
"","0","TC-SEARCH-PREM-021: Premium User bật bộ lọc Loại trừ ảnh do AI tạo @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-PREM-013: Premium User lọc ảnh theo Danh mục (人物) qua Toolbar dropdown @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-PREM-039: Premium User chủ động bật tính năng AI Search trên TopPage và tìm kiếm thành công @regression @premium","chromium-downloader","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Premium User (Paid Downloader Account)","","",""
"","0","TC-SEARCH-FREE-001: Free User tìm kiếm từ khóa đơn hợp lệ hiển thị kết quả @smoke @free-user","chromium-free-user","2026-09-22","skipped","2026-09-22","Search & Filters Feature — Free User (Logged In Account)","","",""
"","12453","TC-SEARCH-GUEST-033: Guest sắp xếp kết quả theo ""新着順"" (Mới nhất) thành công @regression @guest","Photo AC - Guest","2026-09-22","passed","2026-09-22","Chromium","search-guest.spec","",""
