"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10623","TC-SEARCH-GUEST-007: Guest click Popular Tag từ tag cloud thành công @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","21633","TC-SEARCH-GUEST-004: Guest tìm kiếm từ khóa mới trực tiếp từ trang kết quả @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","14182","TC-SEARCH-GUEST-003: Hiển thị thông báo khi không tìm thấy ảnh nào khớp từ khóa @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","14977","TC-SEARCH-GUEST-002: Guest tìm kiếm nhiều từ khóa kết hợp: hiển thị kết quả @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19413","TC-SEARCH-GUEST-027: Guest kết hợp Đa bộ lọc (Chiều ngang + Không có người + Loại trừ AI) qua UI Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19657","TC-SEARCH-GUEST-015: Guest lọc ảnh Không có người (無人) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","16718","TC-SEARCH-GUEST-025: Guest loại trừ ảnh của Tác giả (Acworks) qua menu Detailed Search Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19777","TC-SEARCH-GUEST-029: Khách vãng lai tìm kiếm chính xác ảnh theo Mã素材ID qua menu Detailed Search @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19824","TC-SEARCH-GUEST-016: Guest lọc ảnh có 1 người mẫu (1人) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","18349","TC-SEARCH-GUEST-019: Guest lọc ảnh có Giấy phép người mẫu (取得済のみ) qua menu Display Conditions @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
